ds,yhat,yhat_lower,yhat_upper
2016-08-03,182.13878127168752,167.4238570010781,198.61865198114688
2016-08-04,184.11052319261495,168.05715110625502,198.98824391425654
2016-08-05,193.58184682596277,178.67147095324546,210.46522867619748
2016-08-06,195.3231105960577,179.23251148497783,210.46524487991874
2016-08-07,188.46651695766735,173.37786343077903,203.33846317946347
2016-08-08,189.4168142079326,173.61216747263842,204.92803939335963
2016-08-09,187.9393552316522,172.16957878900502,202.18794387567834
2016-08-10,189.83137664365486,175.0238486043275,205.81352487643886
2016-08-11,190.69859679706533,173.48894853945112,206.51592260324003
2016-08-12,198.90595141059782,184.02634215733647,213.45387234975476
2016-08-13,199.2284802848767,184.02354820867714,214.66870946394783
2016-08-14,190.80692302878487,176.26849489544054,206.16790417524984
2016-08-15,190.058311342687,175.52156504146564,206.02345622005222
2016-08-16,186.76382157916362,171.41854265498668,202.33102609949475
2016-08-17,186.73975627390433,171.46584954319255,201.73758592294277
2016-08-18,185.61376068877135,169.298889346489,200.83855166382378
2016-08-19,191.77510294848793,177.35745347911833,207.63137194863955
2016-08-20,190.0250428324069,176.09340911739704,205.2845097351715
2016-08-21,179.53186039085205,162.89156046762338,195.8260916863811
2016-08-22,176.74084634531846,161.81735230514255,191.7183544228603
2016-08-23,171.46153322302288,155.9749210592178,186.23099434964567
2016-08-24,169.5380515501164,153.88093946362463,186.1273124168985
2016-08-25,166.62473276493887,151.53129998044705,181.49069030319603
2016-08-26,171.13580262906532,156.14358899919455,187.68993542616562
2016-08-27,167.89520457749637,152.54127149324145,184.20658866602747
2016-08-28,156.09113737307692,140.16503031297754,171.90856301394112
2016-08-29,152.18562070459393,136.26617404027067,167.53312597433302
2016-08-30,146.00137755684682,130.15481096569593,161.51163349015192
2016-08-31,143.39192551758322,129.33116393604658,158.6908382251221
2016-09-01,140.01700430871452,125.35323192039755,155.4908576123102
2016-09-02,144.29218661431742,129.71988788583832,159.98470511167332
2016-09-03,141.03871255885792,126.91003964680499,157.03494440178338
2016-09-04,129.43813073725335,113.61282106879489,145.69764969429605
2016-09-05,125.94205569566147,110.64981283258797,141.0157197473599
2016-09-06,120.35932473893781,106.00521849477279,135.55750766061172
2016-09-07,118.52643836852857,105.0824112424969,133.63113959311372
2016-09-08,116.08340199320317,101.29349087499645,131.65128702060449
2016-09-09,121.42380490509656,105.65791879696826,136.92184383399706
2016-09-10,119.34516464927984,103.5792569775244,134.58957403618203
2016-09-11,109.00410666334143,94.1214616570641,124.91907631513824
2016-09-12,106.82667559032818,91.10494267463496,121.83936548265628
2016-09-13,102.5960475996133,87.66254572599978,119.6942237417215
2016-09-14,102.12351467308544,86.37166400660205,117.27420695409309
2016-09-15,101.0248457963586,85.94259003933041,116.50512992154324
2016-09-16,107.67084923702048,91.16915935996951,123.18339470593935
2016-09-17,106.83815342423412,90.97704836943656,121.08984446667128
2016-09-18,97.66476713093252,81.10042660426521,112.83337738047138
2016-09-19,96.56070782495992,81.02239056021683,112.84359042252609
2016-09-20,93.29596177797374,77.91250640114957,109.53589507434268
2016-09-21,93.67164303326166,77.74978612000905,109.93928656878613
2016-09-22,93.2964542538502,77.49651469042327,108.24321648250287
2016-09-23,100.53727364589827,84.63402259240712,115.92963950428334
2016-09-24,100.16988735810136,84.39559709705705,116.52049667232258
2016-09-25,91.33443171250732,75.72183746399661,107.90232043405965
2016-09-26,90.44583940421121,74.32773677841905,105.36032677895123
2016-09-27,87.28155995780088,71.01988054790687,101.84240794985418
2016-09-28,87.65242944645664,71.9201306290635,102.81854870567221
2016-09-29,87.17880135872932,70.67834021330695,101.81879064200629
2016-09-30,94.240772369959,79.85511225186809,109.02976912026566
