ds,y
2015-12-21,49.32416666666666
2015-12-22,51.791956521739124
2015-12-23,65.71941176470588
2015-12-24,60.223749999999995
2015-12-25,48.78055555555555
2015-12-26,59.788333333333334
2015-12-27,56.52727272727273
2015-12-28,55.77852941176471
2015-12-29,95.36291666666666
2015-12-30,148.6188990825688
2015-12-31,130.2672727272727
2016-01-01,75.792
2016-01-02,63.2
2016-01-03,43.53541666666666
2016-01-04,51.38484848484848
2016-01-05,38.74315789473684
2016-01-06,48.10294117647059
2016-01-07,46.0015
2016-01-08,41.78611111111111
2016-01-09,46.22851851851852
2016-01-10,40.050555555555555
2016-01-11,40.54064516129032
2016-01-12,41.46823529411765
2016-01-13,34.407037037037036
2016-01-14,40.4509375
2016-01-15,50.93903225806452
2016-01-16,49.038148148148146
2016-01-17,56.379999999999995
2016-01-18,38.65
2016-01-19,37.432758620689654
2016-01-20,39.388333333333335
2016-01-21,43.391304347826086
2016-01-22,48.86727272727273
2016-01-23,49.03485714285714
2016-01-24,41.857142857142854
2016-01-25,40.7325
2016-01-26,35.65575
2016-01-27,42.354
2016-01-28,48.244054054054054
2016-01-29,50.83481481481481
2016-01-30,48.06
2016-01-31,51.2125
2016-02-01,40.07961538461538
2016-02-02,41.458
2016-02-03,40.62678571428571
2016-02-04,41.616875
2016-02-05,54.01625000000001
2016-02-06,59.63230769230769
2016-02-07,59.971111111111114
2016-02-08,50.953809523809525
2016-02-09,44.9453125
2016-02-10,47.31896551724138
2016-02-11,53.1476923076923
2016-02-12,63.05447368421053
2016-02-13,64.39522388059702
2016-02-14,66.8459375
2016-02-15,45.16483870967742
2016-02-16,42.11918918918919
2016-02-17,47.02232558139535
2016-02-18,53.714814814814815
2016-02-19,52.4405
2016-02-20,54.330555555555556
2016-02-21,47.2175
2016-02-22,42.06825
2016-02-23,39.402692307692305
2016-02-24,40.894642857142856
2016-02-25,42.98106382978723
2016-02-26,51.60465517241379
2016-02-27,60.11518072289157
2016-02-28,47.33631578947368
2016-02-29,46.213750000000005
2016-03-01,49.195263157894736
2016-03-02,44.23916666666666
2016-03-03,43.89
2016-03-04,46.28842105263158
2016-03-05,55.57763157894736
2016-03-06,52.02611111111111
2016-03-07,48.66037037037037
2016-03-08,39.51860465116279
2016-03-09,64.58728813559323
2016-03-10,51.77346153846153
2016-03-11,40.667142857142856
2016-03-12,50.74849056603774
2016-03-13,53.72772727272727
2016-03-14,42.689565217391305
2016-03-15,42.43959183673469
2016-03-16,39.09760869565218
2016-03-17,41.0559375
2016-03-18,53.4819512195122
2016-03-19,60.74065573770491
2016-03-20,61.00527777777778
2016-03-21,52.83769230769231
2016-03-22,56.76866666666667
2016-03-23,71.40888888888888
2016-03-24,79.44097087378641
2016-03-25,91.77972972972972
2016-03-26,88.00944444444445
2016-03-27,60.32999999999999
2016-03-28,61.574375
2016-03-29,49.60125
2016-03-30,56.01254901960784
2016-03-31,65.30337078651685
2016-04-01,71.69904761904762
